"1096-1453","CIÊNCIAS BIOLÓGICAS II                            ","Academic Exchange Quarterly","C ",2008
"0250-5991","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Biosciences","B2",2008
"0168-1656","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Biotechnology","B1",2008
"0884-0431","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Bone and Mineral Research","A1",2008
"0171-5216","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Cancer Research and Clinical Oncology","B1",2008
"1071-9164","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Cardiac Failure","B1",2008
"0160-2446","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Cardiovascular Pharmacology","B2",2008
"0886-3350","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Cataract and Refractive Surgery","B1",2008
"0021-9533","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Cell Science","A1",2008
"1582-1838","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Cellular and Molecular Medicine (Print)","A1",2008
"0730-2312","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Cellular Biochemistry (Print)","A2",2008
"0021-9541","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Cellular Physiology (Print)","A2",2008
"0021-9584","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Chemical Education","B4",2008
"0891-0618","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Chemical Neuroanatomy","B2",2008
"0268-2575","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Chemical Technology and Biotechnology (1986)","B2",2008
"0883-0738","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Child Neurology (Cessou em 2001)","B2",2008
"0021-9665","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Chromatographic Science","B4",2008
"0021-9673","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Chromatography (Print)","A2",2008
"1570-0232","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Chromatography. B (Print)","B1",2008
"0952-8180","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Anesthesia","B3",2008
"0192-0790","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Gastroenterology","B1",2008
"0271-9142","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Immunology","B1",2008
"0887-8013","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Laboratory Analysis (Print)","B4",2008
"0095-1137","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Microbiology (Print)","A2",2008
"1387-1307","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Monitoring and Computing","C ",2008
"0021-9746","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Pathology","B1",2008
"0091-2700","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Pharmacology","B1",2008
"0269-4727","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Pharmacy and Therapeutics (Print)","B2",2008
"0271-0749","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Psychopharmacology","A2",2008
"1386-6532","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Clinical Virology","A2",2008
"0021-9797","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Colloid and Interface Science (Print)","B2",2008
"1520-4766","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Combinatorial Chemistry","B1",2008
"0021-9967","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Comparative Neurology (1911)","A2",2008
"0021-9975","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Comparative Pathology","B2",2008
"0340-7594","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Comparative Physiology. A, Sensory, Neural, and Behavioral Physiology","B2",2008
"0174-1578","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Comparative Physiology. B, Biochemical, Systemic, and Environmental Physiology","B2",2008
"0095-8972","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Coordination Chemistry (Print)","B4",2008
"1473-2130","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Cosmetic Dermatology (Print)","C ",2008
"0278-0372","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Crustacean Biology","B4",2008
"0303-6987","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Cutaneous Pathology","B2",2008
"0022-0302","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Dairy Science","B1",2008
"0022-0345","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Dental Research","A2",2008
"0300-5712","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Dentistry","B2",2008
"1056-8727","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Diabetes and its Complications","B2",2008
"0193-2691","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Dispersion Science and Technology","B4",2008
"0022-0493","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Economic Entomology","B3",2008
"1050-6411","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Electromyography and Kinesiology","B3",2008
"0022-0744","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Electron Microscopy","B3",2008
"0391-4097","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Endocrinological Investigation (Testo stampato)","B2",2008
"0022-0795","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Endocrinology","B1",2008
"0099-2399","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Endodontics","B1",2008
"0892-7790","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Endourology","B2",2008
"0301-4797","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Environmental Management","B2",2008
"8755-5093","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Enzyme Inhibition (Print) (Cessou em 2002. Cont. ISSN 1475-6366 Journal of Enzyme Inhibition and Medicinal Chemistry (Print))","C ",2008
"1475-6366","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Enzyme Inhibition and Medicinal Chemistry (Print)","B2",2008
"1676-2649","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Epilepsy and Clinical Neurophysiology (Impresso)","C ",2008
"0737-0806","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Equine Veterinary Science (Print)","B4",2008
"0378-8741","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Ethnopharmacology","B2",2008
"1010-061X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Evolutionary Biology (Printed ed.)","A2",2008
"1097-9751","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Exercise Physiology Online","C ",2008
"0939-8600","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Experimental Animal Science (Cessou em 2007)","C ",2008
"0022-0949","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Experimental Biology","B1",2008
"0022-0957","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Experimental Botany","A2",2008
"0022-0981","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Experimental Marine Biology and Ecology","B2",2008
"1359-4117","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Experimental Therapeutics & Oncology","C ",2008
"1548-8969","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Experimental Zoology. Part A, Comparative Experimental Biology (Cessou em 2006. Cont. ISSN 1932-5223 Journal of Experimental Zoology. Part A, Ecological Genetics and Physiology)","C ",2008
"1552-499X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Experimental Zoology. Part A, Comparative Experimental Biology (Online) (Cessou em 2006. Cont. Journal of Experimental Zoology. Part A, Ecological Genetics and Physiology (Online))","C ",2008
"1552-5007","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Experimental Zoology. Part B, Molecular and Developmental Evolution","A2",2008
"1098-612X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Feline Medicine and Surgery","B3",2008
"0022-1112","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Fish Biology","B2",2008
"1053-0509","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Fluorescence","B1",2008
"0022-1139","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Fluorine Chemistry","B2",2008
"0145-8884","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Food Biochemistry","B3",2008
"0889-1575","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Food Composition and Analysis (Print)","B1",2008
"0260-8774","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Food Engineering","B2",2008
"0022-1147","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Food Science","B3",2008
"0022-1198","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Forensic Sciences","B4",2008
"0944-1174","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Gastroenterology","B2",2008
"0815-9319","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Gastroenterology and Hepatology","B2",2008
"0022-1260","CIÊNCIAS BIOLÓGICAS II                            ","Journal of General and Applied Microbiology","B4",2008
"0022-1317","CIÊNCIAS BIOLÓGICAS II                            ","Journal of General Virology (Print)","A2",2008
"0304-3894","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Hazardous Materials (Print)","B2",2008
"0022-149X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Helminthology","B3",2008
"0168-8278","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Hepatology","A1",2008
"1049-6475","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Herbs, Spices & Medicinal Plants","C ",2008
"0022-1503","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Heredity","B2",2008
"0022-1511","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Herpetology","B4",2008
"0022-152X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Heterocyclic Chemistry","B4",2008
"1462-0316","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Horticultural Science & Biotechnology","B4",2008
"1434-5161","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Human Genetics (Print)","B2",2008
"0950-9240","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Human Hypertension","B2",2008
"0263-6352","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Hypertension","A2",2008
"0952-1178","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Hypertension. Supplement","C ",2008
"0022-1759","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Immunological Methods","B2",2008
"1388-3127","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Inclusion Phenomena and Macrocyclic Chemistry","C ",2008
"1367-5435","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Industrial Microbiology & Biotechnology","B2",2008
"1972-2680","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Infection in Developing Countries (Online)","C ",2008
"0141-8955","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Inherited Metabolic Disease","B2",2008
"0162-0134","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Inorganic Biochemistry","A2",2008
"0892-7553","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Insect Behavior","B4",2008
"0022-1910","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Insect Physiology","B2",2008
"1079-9907","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Interferon & Cytokine Research","B1",2008
"0022-2011","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Invertebrate Pathology (Print)","B3",2008
"1092-6429","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Laparoendoscopic & Advanced Surgical Techniques. Part A","B4",2008
"0741-5400","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Leukocyte Biology","A2",2008
"0022-2275","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Lipid Research (Print)","A2",2008
"0898-2104","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Liposome Research","B3",2008
"1082-6076","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Liquid Chromatography & Related Technologies (Print)","B4",2008
"0022-2372","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Mammalogy (Print)","B2",2008
"1076-5174","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Mass Spectrometry (Print)","B1",2008
"0957-4530","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Materials Science. Materials in Medicine","B2",2008
"0022-2585","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Medical Entomology","B2",2008
"0022-2593","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Medical Genetics (Print)","A1",2008
"0022-2615","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Medical Microbiology","B2",2008
"0047-2565","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Medical Primatology","B3",2008
"0146-6615","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Medical Virology (Print)","B1",2008
"0022-2623","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Medicinal Chemistry","A1",2008
"1096-620X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Medicinal Food","B3",2008
"0167-7012","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Microbiological Methods","B1",2008
"1017-7825","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Microbiology and Biotechnology (Print)","B2",2008
"0265-2048","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Microencapsulation","B4",2008
"0022-2720","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Microscopy (Print)","B2",2008
"0022-2828","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular and Cellular Cardiology","A1",2008
"0022-2836","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Biology","A2",2008
"1381-1169","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Catalysis. A, Chemical (Print)","B1",2008
"1381-1177","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Catalysis. B, Enzymatic (Print)","B2",2008
"0952-5041","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Endocrinology","B1",2008
"0022-2844","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Evolution","B1",2008
"1093-3263","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Graphics & Modelling","B2",2008
"1567-2379","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Histology (Print)","B3",2008
"0167-7322","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Liquids (Print)","B4",2008
"0946-2716","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Medicine (Berlin. Print)","A1",2008
"1610-2940","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Modeling","B2",2008
"0895-8696","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Neuroscience","B2",2008
"0022-2860","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Structure (Print)","B2",2008
"0166-1280","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molecular Structure. Theochem (Print)","B3",2008
"0260-1230","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Molluscan Studies","B4",2008
"0362-2525","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Morphology (1931. Print)","B2",2008
"0022-2895","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Motor Behavior","B3",2008
"1477-3155","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Nanobiotechnology","B2",2008
"1533-4880","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Nanoscience and Nanotechnology (Print)","B2",2008
"0163-3864","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Natural Products (Print)","B1",2008
"0300-9564","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neural Transmission","B1",2008
"0792-8483","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neural Transplantation & Plasticity","C ",2008
"0167-594X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neuro-Oncology","B2",2008
"0022-3034","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neurobiology (Cessou em 2006. Cont. ISSN 1932-8451 Developmental Neurobiology (Hoboken, N.J.))","B1",2008
"0022-3042","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neurochemistry","A2",2008
"0300-4864","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neurocytology","B2",2008
"0953-8194","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neuroendocrinology (Print)","B1",2008
"0165-5728","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neuroimmunology (Print)","B1",2008
"1742-2094","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neuroinflammation","C ",2008
"0022-3050","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neurology, Neurosurgery and Psychiatry","A2",2008
"0022-3069","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neuropathology and Experimental Neurology","A2",2008
"0022-3077","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neurophysiology","A2",2008
"0165-0270","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neuroscience Methods","B2",2008
"0360-4012","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neuroscience Research","A2",2008
"0022-3085","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neurosurgery","B2",2008
"0897-7151","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Neurotrauma","A2",2008
"0022-3093","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Non-Crystalline Solids","B2",2008
"1071-3581","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Nuclear Cardiology","B1",2008
"0955-2863","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Nutritional Biochemistry","A2",2008
"1341-8076","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Obstetrics and Gynaecology Research","B4",2008
"1080-7683","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Ocular Pharmacology and Therapeutics","B2",2008
"0278-2391","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Oral and Maxillofacial Surgery (Print)","B3",2008
"0904-2512","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Oral Pathology & Medicine","B2",2008
"0305-182X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Oral Rehabilitation (Print)","B3",2008
"1343-4934","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Oral Science","C ",2008
"0022-3263","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Organic Chemistry","A2",2008
"0022-328X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Organometallic Chemistry (Print)","B2",2008
"0736-0266","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Orthopaedic Research","B1",2008
"0381-6605","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Otolaryngology (Cessou em 2007. Cont. ISSN 1916-0208 Journal of Otolaryngology-Head and Neck Surgery)","B4",2008
"1034-4810","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Paediatrics and Child Health (Print)","B3",2008
"0022-3417","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pathology","A1",2008
"0334-018X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pediatric Endocrinology & Metabolism","B4",2008
"0277-2116","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pediatric Gastroenterology and Nutrition","B2",2008
"1077-4114","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pediatric Hematology/Oncology (Print)","B3",2008
"0022-3468","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pediatric Surgery (Print)","B3",2008
"1397-002X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Peptide Research (Cessou em 2005. Cont. ISSN 1747-0277 Chemical Biology & Drug Design (Print))","B3",2008
"1075-2617","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Peptide Science (Print)","B2",2008
"0022-3484","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Periodontal Research","B2",2008
"0022-3492","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Periodontology (1970)","B2",2008
"0731-7085","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pharmaceutical and Biomedical Analysis (Print)","B1",2008
"0022-3549","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pharmaceutical Sciences","B1",2008
"1347-8613","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pharmacological Sciences","B2",2008
"1482-1826","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pharmacy & Pharmaceutical Sciences","B2",2008
"0022-3573","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pharmacy and Pharmacology","B2",2008
"1010-6030","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Photochemistry and Photobiology. A, Chemistry","B2",2008
"1011-1344","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Photochemistry and Photobiology. B, Biology","B2",2008
"0022-3646","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Phycology","B1",2008
"1520-6106","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Physical Chemistry. B","A2",2008
"0305-4470","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Physics. A, Mathematical and General (Print) (Cessou em 2006. Cont. ISSN 1751-8113 Journal of Physics. A, Mathematical and Theoretical (Print))","B2",2008
"0953-8984","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Physics. Condensed Matter (Print)","B2",2008
"1742-6596","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Physics. Conference Series (Online)","C ",2008
"0022-3727","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Physics. D, Applied Physics (Print)","B2",2008
"0022-3751","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Physiology (London. Print)","A2",2008
"0928-4257","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Physiology (Paris)","B2",2008
"1138-7548","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Physiology and Biochemistry","B3",2008
"0867-5910","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Physiology and Pharmacology","A2",2008
"0931-1785","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Phytopathology (1986)","B4",2008
"0742-3098","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Pineal Research","A2",2008
"0176-1617","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Plant Physiology (Print)","B2",2008
"1535-3893","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Proteome Research (Print)","A1",2008
"1874-3919","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Proteomics","C ",2008
"0022-3956","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Psychiatric Research","A2",2008
"1180-4882","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Psychiatry & Neuroscience","A2",2008
"0269-8811","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Psychopharmacology (Oxford)","A2",2008
"0022-4006","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Public Health Dentistry","B4",2008
"0236-5731","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Radioanalytical and Nuclear Chemistry (Print)","B4",2008
"1079-9893","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Receptor and Signal Transduction Research","B2",2008
"1081-597X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Refractive Surgery (1995)","B2",2008
"0165-0378","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Reproductive Immunology","B1",2008
"0024-7758","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Reproductive Medicine","B5",2008
"0315-162X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Rheumatology","B1",2008
"1615-9306","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Separation Science (Print)","B1",2008
"0092-623X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Sex & Marital Therapy","C ",2008
"0928-0707","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Sol-Gel Science and Technology","B3",2008
"0022-4707","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Sports Medicine and Physical Fitness (Testo stampato)","B4",2008
"1303-2968","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Sports Science and Medicine","B4",2008
"0960-0760","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Steroid Biochemistry and Molecular Biology","B1",2008
"0022-474X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Stored Products Research","B2",2008
"1064-8011","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Strength and Conditioning Research","B2",2008
"1047-8477","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Structural Biology (Print)","A2",2008
"0022-4790","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Surgical Oncology (Print)","B1",2008
"0190-9622","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the American Academy of Dermatology","B1",2008
"0002-7863","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the American Chemical Society (Print)","A1",2008
"0735-1097","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the American College of Cardiology (Print)","A1",2008
"8756-971X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the American Mosquito Control Association","B4",2008
"0003-021X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the American Oil Chemists' Society","B2",2008
"1044-0305","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the American Society for Mass Spectrometry","A2",2008
"0894-7317","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the American Society of Echocardiography (Print)","B2",2008
"1933-1711","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the American Society of Hypertension","C ",2008
"0103-5053","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the Brazilian Chemical Society (Impresso)","B2",2008
"1809-8401","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the Brazilian Society of Ecotoxicology","C ",2008
"1468-3083","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the European Academy of Dermatology and Venereology (Online)","B2",2008
"0046-9750","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the Institute of Brewing","B4",2008
"1355-6177","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the International Neuropsychological Society (Print)","B1",2008
"0025-3154","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the Marine Biological Association of the United Kingdom (Print)","B4",2008
"0022-510X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the Neurological Sciences","B1",2008
"1085-9489","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the Peripheral Nervous System","B1",2008
"0022-5142","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the Science of Food and Agriculture","B3",2008
"1071-5576","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the Society for Gynecologic Investigation (Cessou em 2006. Cont. ISSN 1933-7191 Reproductive Sciences (Thousand Oaks, Calif.))","B2",2008
"0893-8849","CIÊNCIAS BIOLÓGICAS II                            ","Journal of the World Aquaculture Society","B4",2008
"1916-6958","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Theoretical & Experimental Pharmacology","C ",2008
"0022-5193","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Theoretical Biology","B2",2008
"0306-4565","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Thermal Biology","B4",2008
"0883-5993","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Thoracic Imaging","B2",2008
"1538-7933","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Thrombosis and Haemostasis (Print)","A1",2008
"0388-1350","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Toxicological Sciences","C ",2008
"1528-7394","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Toxicology and Environmental Health. Part A","B2",2008
"0946-672X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Trace Elements in Medicine and Biology","B1",2008
"1479-5876","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Translational Medicine (Online)","B1",2008
"0142-6338","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Tropical Pediatrics (1980)","B4",2008
"1018-1172","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Vascular Research","B1",2008
