"1950-196X","SOCIOLOGIA                                        ","2050 / Deux Mille Cinquante","C ",2008
"1807-1058","SOCIOLOGIA                                        ","Neurociências (Rio de Janeiro)","C ",2008
"0028-6060","SOCIOLOGIA                                        ","New Left Review","A2",2008
"0121-7550","SOCIOLOGIA                                        ","Nómadas (Bogotá)","B3",2008
"1679-7221","SOCIOLOGIA                                        ","Nossa História (São Paulo)","C ",2008
"0303-1829","SOCIOLOGIA                                        ","Notas de Población (Impresa)","B1",2008
"0328-3534","SOCIOLOGIA                                        ","Novedades Educativas","B4",2008
"1516-6481","SOCIOLOGIA                                        ","Novos Cadernos NAEA","B3",2008
"0101-3300","SOCIOLOGIA                                        ","Novos Estudos CEBRAP (Impresso)","A1",2008
"0103-6785","SOCIOLOGIA                                        ","Nuestra America (São Paulo)","C ",2008
"0251-3552","SOCIOLOGIA                                        ","Nueva Sociedad","A2",2008
"1666-3357","SOCIOLOGIA                                        ","Nueva Visión (Buenos Aires)","C ",2008
"0325-6960","SOCIOLOGIA                                        ","Nuevamérica (Buenos Aires)","B5",2008
"1626-0252","SOCIOLOGIA                                        ","Nuevo Mundo-Mundos Nuevos","B3",2008
"1516-1021","SOCIOLOGIA                                        ","Numem (UFJF)","B5",2008
"0104-7809","SOCIOLOGIA                                        ","O Mundo da Saúde (CUSC. Impresso)","B3",2008
"1413-1129","SOCIOLOGIA                                        ","O Olho da História","B4",2008
"1519-5481","SOCIOLOGIA                                        ","O Público e o Privado (UECE)","B4",2008
"1415-1804","SOCIOLOGIA                                        ","O Social em Questão","B4",2008
"1809-7588","SOCIOLOGIA                                        ","Observador on-line","B5",2008
"1646-5954","SOCIOLOGIA                                        ","Observatorio (OBS*)","B5",2008
"0797-986X","SOCIOLOGIA                                        ","Observatorio da Cidadanía","C ",2008
"1515-3282","SOCIOLOGIA                                        ","Observatorio Social de América Latina","B3",2008
"1517-0845","SOCIOLOGIA                                        ","Olhar (UFSCar)","B3",2008
"1784-3308","SOCIOLOGIA                                        ","Omertaa (Kessel-Lo)","B3",2008
"1676-4285","SOCIOLOGIA                                        ","Online Brazilian Journal of Nursing","B3",2008
"0104-6276","SOCIOLOGIA                                        ","Opinião Pública (UNICAMP. Impresso)","B1",2008
"1519-3276","SOCIOLOGIA                                        ","Opsis (UFG)","B3",2008
"1807-1236","SOCIOLOGIA                                        ","Organicom (USP)","B3",2008
"1413-585X","SOCIOLOGIA                                        ","Organizações & Sociedade (Impresso)","B4",2008
"1517-3879","SOCIOLOGIA                                        ","Organizações Rurais e Agroindustriais (UFLA)","B3",2008
"0102-6267","SOCIOLOGIA                                        ","Organon (UFRGS)","B5",2008
"1806-0528","SOCIOLOGIA                                        ","Os Urbanitas (São Paulo)","B3",2008
"1653-5766","SOCIOLOGIA                                        ","OSH & Development","B2",2008
"1851-4715","SOCIOLOGIA                                        ","Otra Economía","B1",2008
"1317-5904","SOCIOLOGIA                                        ","Otras Miradas: Revista Venezuelana de Estudios de Género","C ",2008
"1808-8031","SOCIOLOGIA                                        ","Outros Tempos","C ",2008
"1516-6333","SOCIOLOGIA                                        ","Outubro (São Paulo)","B3",2008
"0078-7809","SOCIOLOGIA                                        ","Paideuma (Wiesbaden)","B3",2008
"1524-9042","SOCIOLOGIA                                        ","Pain Management Nursing (Print)","A2",2008
"1980-7775","SOCIOLOGIA                                        ","Panóptica (Vitória)","B5",2008
"1405-7425","SOCIOLOGIA                                        ","Papeles de Población","B1",2008
"0327-6147","SOCIOLOGIA                                        ","Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural","B4",2008
"0210-2862","SOCIOLOGIA                                        ","Papers - Universidad Autonoma de Barcelona","B1",2008
"1518-9015","SOCIOLOGIA                                        ","PAR'A'IWA (UFPB. Online)","B5",2008
"1011-2251","SOCIOLOGIA                                        ","Paradigma (Maracay)","B1",2008
"1414-7866","SOCIOLOGIA                                        ","Paraná Eleitoral","C ",2008
"1413-9375","SOCIOLOGIA                                        ","Parcerias Estratégicas (Brasília)","B3",2008
"1695-7121","SOCIOLOGIA                                        ","Pasos (El Sauzal)","B1",2008
"0942-900X","SOCIOLOGIA                                        ","Passauer Schriften zur Geographie","B5",2008
"1677-3721","SOCIOLOGIA                                        ","Pátio (Porto Alegre. 2002)","B5",2008
"1808-1967","SOCIOLOGIA                                        ","Patrimônio e Memória (UNESP)","B2",2008
"1806-700X","SOCIOLOGIA                                        ","Patrimônio: Lazer & Turismo (UNISANTOS)","B5",2008
"1676-1871","SOCIOLOGIA                                        ","Pegada (UNESP. Impresso)","B4",2008
"1415-5109","SOCIOLOGIA                                        ","Pensamento & Realidade","C ",2008
"1982-2707","SOCIOLOGIA                                        ","Pensamento Plural (UFPEL)","B5",2008
"0212-0208","SOCIOLOGIA                                        ","Pensamiento Iberoamericano","B2",2008
"1016-9628","SOCIOLOGIA                                        ","Pensamiento Propio","B3",2008
"1519-8464","SOCIOLOGIA                                        ","Pensar (UNIFOR)","B4",2008
"1415-4676","SOCIOLOGIA                                        ","Pensar a Prática (UFG. Impresso)","B4",2008
"1676-9503","SOCIOLOGIA                                        ","Pensar BH. Política Social","C ",2008
"0103-6815","SOCIOLOGIA                                        ","Percurso (São Paulo)","B2",2008
"1982-4289","SOCIOLOGIA                                        ","Perseu: História, Memória e Política","C ",2008
"0102-5473","SOCIOLOGIA                                        ","Perspectiva (UFSC)","B2",2008
"0101-3459","SOCIOLOGIA                                        ","Perspectivas: Revista de Ciências Sociais (UNESP. Araraquara. Impresso)","B2",2008
"0100-0551","SOCIOLOGIA                                        ","Pesquisa e Planejamento Econômico (Rio de Janeiro)","B2",2008
"1980-1165","SOCIOLOGIA                                        ","Pesquisa em Educação Ambiental (UFSCar)","B3",2008
"1983-473X","SOCIOLOGIA                                        ","Pesquisas em Turismo e Paisagens Cársticas","C ",2008
"0191-4537","SOCIOLOGIA                                        ","Philosophy & Social Criticism","A1",2008
"0103-7331","SOCIOLOGIA                                        ","Physis (UERJ. Impresso)","B1",2008
"1980-8666","SOCIOLOGIA                                        ","Pleiade (Uniamérica)","B5",2008
"1519-9967","SOCIOLOGIA                                        ","Plenarium (João Pessoa)","B5",2008
"1807-9083","SOCIOLOGIA                                        ","Plurais (Anápolis)","B5",2008
"0104-6721","SOCIOLOGIA                                        ","Plural (USP)","B5",2008
"1519-9339","SOCIOLOGIA                                        ","Politéia (UESB)","B4",2008
"1677-4140","SOCIOLOGIA                                        ","Política & Sociedade","B2",2008
"0104-8015","SOCIOLOGIA                                        ","Política & Trabalho (UFPB. Impresso)","B2",2008
"1518-7446","SOCIOLOGIA                                        ","Política Democrática","C ",2008
"1518-6660","SOCIOLOGIA                                        ","Política Externa (USP)","B3",2008
"1983-3717","SOCIOLOGIA                                        ","Políticas Clturais em Revista","B3",2008
"1519-096X","SOCIOLOGIA                                        ","Políticas Públicas e Sociedade","B3",2008
"1518-4285","SOCIOLOGIA                                        ","Políticas Sociais (IPEA)","B3",2008
"1203-9438","SOCIOLOGIA                                        ","Politique et Sociétés (Montréal)","A2",2008
"1982-4807","SOCIOLOGIA                                        ","Ponto-e-Vírgula (PUCSP)","B3",2008
"1981-3341","SOCIOLOGIA                                        ","Ponto.Urbe (USP)","B3",2008
"0032-471X","SOCIOLOGIA                                        ","Population Review. (Cessou em 1998. Cont.1549-0955 Population Review (Online))","A2",2008
"1544-8444","SOCIOLOGIA                                        ","Population, Space and Place","A2",2008
"1981-9544","SOCIOLOGIA                                        ","Portas (São Paulo)","C ",2008
"0267-5315","SOCIOLOGIA                                        ","Portuguese Studies","B1",2008
"1415-4056","SOCIOLOGIA                                        ","Pós (Brasília)","B4",2008
"1518-9554","SOCIOLOGIA                                        ","Pós. Revista do Programa de Pós-Graduação em Arquitetura e Urbanismo da FAUUSP","B3",2008
"1316-1857","SOCIOLOGIA                                        ","Praesentia (Mérida)","B3",2008
"1414-9184","SOCIOLOGIA                                        ","Praia Vermelha (UFRJ)","B4",2008
"1807-1112","SOCIOLOGIA                                        ","Prâksis (FEEVALE)","B4",2008
"1809-0249","SOCIOLOGIA                                        ","Práxis Educacional","B4",2008
"1676-9139","SOCIOLOGIA                                        ","Presença (Rio de Janeiro. 2002)","B4",2008
"1413-1862","SOCIOLOGIA                                        ","Presença Pedagogica","B5",2008
"1678-2593","SOCIOLOGIA                                        ","Prim@ Facie","B5",2008
"1676-7039","SOCIOLOGIA                                        ","Primeira Versão (IFCH-UNICAMP)","B5",2008
"1518-2983","SOCIOLOGIA                                        ","Principia (Juiz de Fora)","C ",2008
"1677-4760","SOCIOLOGIA                                        ","Prisma Jurídico (UNINOVE. Impresso)","B4",2008
"1666-1508","SOCIOLOGIA                                        ","Prismas (Bernal)","B3",2008
"0103-7307","SOCIOLOGIA                                        ","Pró-Posições (UNICAMP. Impresso)","B1",2008
"0765-1333","SOCIOLOGIA                                        ","Problèmes d'Amérique Latine","B1",2008
"1535-6191","SOCIOLOGIA                                        ","Projections (Cambridge, Mass.)","B3",2008
"0102-4442","SOCIOLOGIA                                        ","Projeto História (PUCSP)","B2",2008
"1982-2421","SOCIOLOGIA                                        ","ProjetosExperimentais.Com","C ",2008
"1677-6631","SOCIOLOGIA                                        ","Propostas Alternativas","B5",2008
"1722-1420","SOCIOLOGIA                                        ","Proteo (Roma)","B5",2008
"0103-5371","SOCIOLOGIA                                        ","Psico (PUCRS. Impresso)","B2",2008
"0103-5665","SOCIOLOGIA                                        ","Psicologia Clínica (PUCRJ. Impresso)","B1",2008
"0102-7182","SOCIOLOGIA                                        ","Psicologia e Sociedade (Impresso)","B1",2008
"1413-7372","SOCIOLOGIA                                        ","Psicologia em Estudo (Impresso)","B1",2008
"0103-6564","SOCIOLOGIA                                        ","Psicologia USP (Impresso)","B2",2008
"0102-7972","SOCIOLOGIA                                        ","Psicologia: Reflexão e Crítica (UFRGS. Impresso)","A2",2008
"1359-7620","SOCIOLOGIA                                        ","Psychiatry On-line","B3",2008
"0271-2075","SOCIOLOGIA                                        ","Public Administration and Development (Print)","B1",2008
"1806-3667","SOCIOLOGIA                                        ","PUCviva Revista","C ",2008
"1517-5316","SOCIOLOGIA                                        ","Pulsional. Revista de Psicanálise (São Paulo)","B3",2008
"0211-5557","SOCIOLOGIA                                        ","Quaderns de l'Institut Catalá d'Antropologia","B2",2008
"0872-3915","SOCIOLOGIA                                        ","Quadrante (Lisboa)","B5",2008
"1807-8389","SOCIOLOGIA                                        ","Quaestio Iuris (Impresso)","C ",2008
"1575-4227","SOCIOLOGIA                                        ","Quórum (Alcalá de Henares)","B2",2008
"1665-0441","SOCIOLOGIA                                        ","Ra Ximhai (UAIM)","B2",2008
"1981-5700","SOCIOLOGIA                                        ","RAC Eletrônica","B2",2008
"1415-6555","SOCIOLOGIA                                        ","RAC. Revista de Administração Contemporânea (Impresso)","B1",2008
"1981-1756","SOCIOLOGIA                                        ","RACE : Revista de Administração do Cesusc","B5",2008
"1809-6212","SOCIOLOGIA                                        ","RACI. Revista de Administração e Ciências Contábeis do IDEAU","B5",2008
"0034-7590","SOCIOLOGIA                                        ","RAE (Impresso)","B1",2008
"1676-5648","SOCIOLOGIA                                        ","RAE Eletrônica (Online)","B1",2008
"1982-6702","SOCIOLOGIA                                        ","RAH (Mogi Guaçu)","C ",2008
"0102-552X","SOCIOLOGIA                                        ","Raizes (UFPB)","B2",2008
"1518-6776","SOCIOLOGIA                                        ","RAM. Revista de Administração Mackenzie (Impresso)","B2",2008
"1677-4043","SOCIOLOGIA                                        ","Razão e Fé","B4",2008
"1515-1913","SOCIOLOGIA                                        ","Razón y Revolución","B4",2008
"1676-8000","SOCIOLOGIA                                        ","RBEE. Revista Brasileira de Economia de Empresas","B5",2008
"1806-8405","SOCIOLOGIA                                        ","RBPG. Revista Brasileira de Pós-Graduação","B4",2008
"1676-8965","SOCIOLOGIA                                        ","RBSE. Revista Brasileira de Sociologia da Emoção (Online)","B5",2008
"1516-1684","SOCIOLOGIA                                        ","RDE. Revista de Desenvolvimento Econômico","B3",2008
"1809-4805","SOCIOLOGIA                                        ","RDI. Revista Discente Interinstitucional","B5",2008
"1519-8057","SOCIOLOGIA                                        ","RDT (Brasília)","C ",2008
"1679-9127","SOCIOLOGIA                                        ","REA. Revista Eletrônica de Administração (Franca. Online)","C ",2008
"1981-6278","SOCIOLOGIA                                        ","RECIIS. Revista Eletrônica de Comunicação, Informação & Inovação em Saúde (Edição em Português. Online)","B4",2008
"1984-1736","SOCIOLOGIA                                        ","REDD - Revista Espaço de Diálogo e Desconexão","B2",2008
"1135-8793","SOCIOLOGIA                                        ","Redes (Barcelona)","B2",2008
"1414-7106","SOCIOLOGIA                                        ","Redes (Santa Cruz do Sul. Impresso)","B3",2008
"1579-0185","SOCIOLOGIA                                        ","Redes, Revista Hispana para el Análisis de Redes Sociales","B2",2008
"1696-2079","SOCIOLOGIA                                        ","Redes.com (Sevilla)","B3",2008
"0124-0781","SOCIOLOGIA                                        ","Reflexion Politica","B2",2008
"1677-7743","SOCIOLOGIA                                        ","Reflexões em Ciências Humanas","B5",2008
"0102-1184","SOCIOLOGIA                                        ","Reforma Agrária","C ",2008
"1806-4051","SOCIOLOGIA                                        ","REGA. Revista de Gestão de Águas da América Latina","B4",2008
"1870-3925","SOCIOLOGIA                                        ","Región y Sociedad","A2",2008
"1856-8378","SOCIOLOGIA                                        ","Relet","B2",2008
"1982-6605","SOCIOLOGIA                                        ","Religare (UFPB)","B5",2008
"0100-8587","SOCIOLOGIA                                        ","Religião & Sociedade (Impresso)","B1",2008
"1676-6881","SOCIOLOGIA                                        ","Religião e Cultura (PUCSP)","B4",2008
"0394-9397","SOCIOLOGIA                                        ","Religioni e Società (Napoli. Testo stampato)","B4",2008
"1415-2762","SOCIOLOGIA                                        ","REME. Revista Mineira de Enfermagem","B5",2008
"1980-8585","SOCIOLOGIA                                        ","REMHU (Brasília)","C ",2008
"1415-3203","SOCIOLOGIA                                        ","Repertório Teatro & Dança","B4",2008
"0968-8080","SOCIOLOGIA                                        ","Reproductive Health Matters (Print)","A2",2008
"1356-4765","SOCIOLOGIA                                        ","Res Publica (Liverpool)","B1",2008
"0276-5624","SOCIOLOGIA                                        ","Research in Social Stratification and Mobility","A1",2008
"0048-7333","SOCIOLOGIA                                        ","Research Policy","A1",2008
"0104-6152","SOCIOLOGIA                                        ","Resenha Eleitoral - Tribunal Regional Eleitoral de Santa Catarina","C ",2008
"0893-5696","SOCIOLOGIA                                        ","Rethinking Marxism","B1",2008
"1516-8182","SOCIOLOGIA                                        ","Retratos de Assentamentos","B5",2008
"1677-1222","SOCIOLOGIA                                        ","Rever (PUCSP)","B3",2008
"1806-0803","SOCIOLOGIA                                        ","Reverte (Indaiatuba)","B5",2008
"1677-8685","SOCIOLOGIA                                        ","Revés do Avesso","B5",2008
"1983-2354","SOCIOLOGIA                                        ","Revista África e Africanidades","B5",2008
"1807-491X","SOCIOLOGIA                                        ","Revista Agriculturas (Impresso)","B5",2008
"1518-6792","SOCIOLOGIA                                        ","Revista Alpha","B5",2008
"1983-6929","SOCIOLOGIA                                        ","Revista Amazonense de Geriatria e Gerontologia","C ",2008
"1518-5532","SOCIOLOGIA                                        ","Revista ANGRAD","B4",2008
"1519-423X","SOCIOLOGIA                                        ","Revista Anhangüera","B5",2008
"0101-0964","SOCIOLOGIA                                        ","Revista ANPEC","B5",2008
"1516-7372","SOCIOLOGIA                                        ","Revista Anthropológicas","B2",2008
"1981-5913","SOCIOLOGIA                                        ","Revista Aprendizagem (Pinhais, PR)","B5",2008
"1667-9261","SOCIOLOGIA                                        ","Revista Argentina de Sociología","B1",2008
"1807-8214","SOCIOLOGIA                                        ","Revista Ártemis","B5",2008
"1981-1225","SOCIOLOGIA                                        ","Revista Aulas (UNICAMP)","C ",2008
"1677-3500","SOCIOLOGIA                                        ","Revista Autor (São Paulo)","C ",2008
"1984-3100","SOCIOLOGIA                                        ","Revista Avaliação de Políticas Públicas","B4",2008
"1516-7429","SOCIOLOGIA                                        ","Revista Brasileira de Administração Pública e de Empresas","C ",2008
"1980-9735","SOCIOLOGIA                                        ","Revista Brasileira de Agroecologia","B3",2008
"1806-809X","SOCIOLOGIA                                        ","Revista Brasileira de Arbitragem","B5",2008
"1415-5400","SOCIOLOGIA                                        ","Revista Brasileira de Ciências Criminais","B2",2008
"0101-3289","SOCIOLOGIA                                        ","Revista Brasileira de Ciências do Esporte","B2",2008
"0102-6909","SOCIOLOGIA                                        ","Revista Brasileira de Ciências Sociais (Impresso)","A1",2008
"0102-5074","SOCIOLOGIA                                        ","Revista Brasileira de Comércio Exterior","C ",2008
"1807-9962","SOCIOLOGIA                                        ","Revista Brasileira de Direito Ambiental","B5",2008
"1982-2219","SOCIOLOGIA                                        ","Revista Brasileira de Direito das Famílias e Sucessões","C ",2008
"1519-1869","SOCIOLOGIA                                        ","Revista Brasileira de Direito de Família (Cessou em 2007. Cont. ISSN 1982-503X Revista IOB de Direito da Família)","B5",2008
"1413-2478","SOCIOLOGIA                                        ","Revista Brasileira de Educação (Impresso)","B1",2008
"0034-7167","SOCIOLOGIA                                        ","Revista Brasileira de Enfermagem (Impresso)","B1",2008
"0102-3098","SOCIOLOGIA                                        ","Revista Brasileira de Estudos de População (Impresso)","A2",2008
"1517-4115","SOCIOLOGIA                                        ","Revista Brasileira de Estudos Urbanos e Regionais (ANPUR)","B2",2008
"0034-7205","SOCIOLOGIA                                        ","Revista Brasileira de Filosofia","B4",2008
"0100-2945","SOCIOLOGIA                                        ","Revista Brasileira de Fruticultura (Impresso)","C ",2008
"1809-9823","SOCIOLOGIA                                        ","Revista Brasileira de Geriatria e Gerontologia (UnATI. Impresso)","B3",2008
"1806-4892","SOCIOLOGIA                                        ","Revista Brasileira de Gestão de Negócios (São Paulo. Impresso)","B3",2008
"1809-239X","SOCIOLOGIA                                        ","Revista Brasileira de Gestão e Desenvolvimento Regional","B3",2008
"0102-0188","SOCIOLOGIA                                        ","Revista Brasileira de História (Impresso)","A2",2008
"1519-5902","SOCIOLOGIA                                        ","Revista Brasileira de História da Educação","B3",2008
"1983-2850","SOCIOLOGIA                                        ","Revista Brasileira de História das Religiões","B4",2008
"1414-5685","SOCIOLOGIA                                        ","Revista Brasileira de Informação na Educação","B3",2008
"1677-2504","SOCIOLOGIA                                        ","Revista Brasileira de Inovação","B3",2008
"1678-166X","SOCIOLOGIA                                        ","Revista Brasileira de Política e Administração da Educação","B4",2008
"0034-7329","SOCIOLOGIA                                        ","Revista Brasileira de Política Internacional (Impresso)","B1",2008
"1519-3829","SOCIOLOGIA                                        ","Revista Brasileira de Saúde Materno Infantil (Impresso)","B1",2008
"1981-1659","SOCIOLOGIA                                        ","Revista Brasileira de Segurança Pública","B4",2008
"1518-6784","SOCIOLOGIA                                        ","Revista Brasileira do Caribe (Impresso)","B3",2008
"1679-1991","SOCIOLOGIA                                        ","Revista Capital Científico (UNICENTRO)","B5",2008
"1414-008X","SOCIOLOGIA                                        ","Revista CEJ (Brasília)","C ",2008
"1678-8346","SOCIOLOGIA                                        ","Revista Cerrados (UNIMONTES)","B4",2008
"0717-876X","SOCIOLOGIA                                        ","Revista Chilena de Antropología Visual","B3",2008
"1807-5916","SOCIOLOGIA                                        ","Revista Ciência e Sociedade","B5",2008
"1677-9649","SOCIOLOGIA                                        ","Revista Ciência e Tecnologia","B4",2008
"1414-0896","SOCIOLOGIA                                        ","Revista Ciências Administrativas (UNIFOR)","B5",2008
"1807-6912","SOCIOLOGIA                                        ","Revista Científica da FAMINAS","C ",2008
"1981-6014","SOCIOLOGIA                                        ","Revista Científica da UFPA","B4",2008
"1678-9652","SOCIOLOGIA                                        ","Revista Científica da UNESC","B5",2008
"1806-9169","SOCIOLOGIA                                        ","Revista Científica Eletrônica de Turismo (São Paulo)","B5",2008
"1981-9269","SOCIOLOGIA                                        ","Revista Cocar (UEPA)","B5",2008
"0120-3916","SOCIOLOGIA                                        ","Revista Colombiana de Educación","B4",2008
"0120-159X","SOCIOLOGIA                                        ","Revista Colombiana de Sociologia","B3",2008
"1807-0124","SOCIOLOGIA                                        ","Revista Comciência","C ",2008
"1678-9822","SOCIOLOGIA                                        ","Revista Comunicação Midiática","B4",2008
"1646-5075","SOCIOLOGIA                                        ","Revista Configurações","B2",2008
"1806-0498","SOCIOLOGIA                                        ","Revista Contemporânea (UERJ. Online)","C ",2008
"1809-5747","SOCIOLOGIA                                        ","Revista Contemporânea de Educação","B5",2008
"0254-1106","SOCIOLOGIA                                        ","Revista Crítica de Ciências Sociais","A2",2008
"1132-6581","SOCIOLOGIA                                        ","Revista d'Etnologia de Catalunya","B4",2008
"1679-2483","SOCIOLOGIA                                        ","Revista da ABET (Impresso)","B3",2008
"1676-4439","SOCIOLOGIA                                        ","Revista da ABET (Online)","B3",2008
"1676-1480","SOCIOLOGIA                                        ","Revista da Academia Brasileira de Direito Constitucional","B5",2008
"1679-1363","SOCIOLOGIA                                        ","Revista da Ajuris","C ",2008
"0104-3803","SOCIOLOGIA                                        ","Revista da APG (PUCSP)","B5",2008
"1516-7712","SOCIOLOGIA                                        ","Revista da Casa da Geografia de Sobral","C ",2008
"0080-6234","SOCIOLOGIA                                        ","Revista da Escola de Enfermagem da USP (Impresso)","B3",2008
"1809-5739","SOCIOLOGIA                                        ","Revista da Escola Nacional de Magistratura","B5",2008
"1676-1855","SOCIOLOGIA                                        ","Revista da Faculdade Christus","C ",2008
"1676-1308","SOCIOLOGIA                                        ","Revista da Faculdade de Direito Candido Mendes","B5",2008
"0101-7187","SOCIOLOGIA                                        ","Revista da Faculdade de Direito da UFG","B5",2008
"0304-2340","SOCIOLOGIA                                        ","Revista da Faculdade de Direito da Universidade Federal de Minas Gerais (Impresso)","B4",2008
"0303-9838","SOCIOLOGIA                                        ","Revista da Faculdade de Direito, Universidade de São Paulo","B3",2008
"1679-4273","SOCIOLOGIA                                        ","Revista da Faculdade de Educação (Universidade do Estado de Mato Grosso)","C ",2008
"0871-164X","SOCIOLOGIA                                        ","Revista da Faculdade de Letras. Série de História","B2",2008
"1808-9429","SOCIOLOGIA                                        ","Revista da Faculdade Mineira de Direito","B5",2008
"1808-477X","SOCIOLOGIA                                        ","Revista da FAPESE de Pesquisa e Extensão","C ",2008
"1677-2261","SOCIOLOGIA                                        ","Revista da FARN (Impresso)","C ",2008
"1646-8872","SOCIOLOGIA                                        ","Revista da Gestão Costeira Integrada","C ",2008
"1517-3852","SOCIOLOGIA                                        ","Revista da Rede de Enfermagem do Nordeste","B4",2008
"1415-1979","SOCIOLOGIA                                        ","Revista da Sociedade Brasileira de Economia Política","B3",2008
"1679-8708","SOCIOLOGIA                                        ","Revista da UNIFEBE","C ",2008
"0870-1547","SOCIOLOGIA                                        ","Revista da Universidade de Aveiro (Letras)","C ",2008
"1519-9916","SOCIOLOGIA                                        ","Revista Dataveni@ (UEPB)","C ",2008
"0080-2107","SOCIOLOGIA                                        ","Revista de Administração (FEA-USP)","B2",2008
"1807-1937","SOCIOLOGIA                                        ","Revista de Administração da FEAD-Minas","B4",2008
"0034-7604","SOCIOLOGIA                                        ","Revista de Administração Municipal","B4",2008
"0034-7612","SOCIOLOGIA                                        ","Revista de Administração Pública (Impresso)","B2",2008
"0034-7701","SOCIOLOGIA                                        ","Revista de Antropologia (USP. Impresso)","A1",2008
"1131-558X","SOCIOLOGIA                                        ","Revista de Antropología Social","C ",2008
"1516-7704","SOCIOLOGIA                                        ","Revista de APS (Impresso)","C ",2008
"1809-8363","SOCIOLOGIA                                        ","Revista de APS (Online)","C ",2008
"1679-6462","SOCIOLOGIA                                        ","Revista de Arbitragem e Mediação","C ",2008
"0102-0420","SOCIOLOGIA                                        ","Revista de Arqueologia (Sociedade de Arqueologia Brasileira. Impresso)","B2",2008
"1519-8022","SOCIOLOGIA                                        ","Revista de Ciência & Tecnologia (UNIG)","C ",2008
"1413-8999","SOCIOLOGIA                                        ","Revista de Ciênciais Sociais (UGF)","B5",2008
"1516-3865","SOCIOLOGIA                                        ","Revista de Ciências da Administração (CAD/UFSC)","B3",2008
"1518-7039","SOCIOLOGIA                                        ","Revista de Ciências da Educação","C ",2008
"1518-4684","SOCIOLOGIA                                        ","Revista de Ciências Humanas (Frederico Westphalen. Impresso)","C ",2008
"0101-9589","SOCIOLOGIA                                        ","Revista de Ciências Humanas (UFSC)","B3",2008
"1413-5698","SOCIOLOGIA                                        ","Revista de Ciências Humanas (UGF)","C ",2008
"0303-9862","SOCIOLOGIA                                        ","Revista de Ciências Sociais (Fortaleza)","B2",2008
"0041-8862","SOCIOLOGIA                                        ","Revista de Ciências Sociais da UFC","B2",2008
"1667-3638","SOCIOLOGIA                                        ","Revista de Derecho Internacional y del Mercosur","B2",2008
"1415-658X","SOCIOLOGIA                                        ","Revista de Direito (Itatiba)","C ",2008
"0034-8007","SOCIOLOGIA                                        ","Revista de Direito Administrativo","C ",2008
"1518-272X","SOCIOLOGIA                                        ","Revista de Direito Constitucional e Internacional","B4",2008
"1981-2507","SOCIOLOGIA                                        ","Revista de Direito de Informática e Telecomunicações","C ",2008
"1415-7705","SOCIOLOGIA                                        ","Revista de Direito do Consumidor","C ",2008
"0102-8774","SOCIOLOGIA                                        ","Revista de Direito do Trabalho (São Paulo)","B4",2008
"1679-2092","SOCIOLOGIA                                        ","Revista de Direito e Política","C ",2008
"1678-8893","SOCIOLOGIA                                        ","Revista de Direito Internacional e Econômico","C ",2008
"0102-8049","SOCIOLOGIA                                        ","Revista de Direito Mercantil Industrial, Econômico e Financeiro","C ",2008
"1516-4179","SOCIOLOGIA                                        ","Revista de Direito Sanitário","C ",2008
"1517-9192","SOCIOLOGIA                                        ","Revista de Direitos Difusos","C ",2008
"1677-4973","SOCIOLOGIA                                        ","Revista de Economia & Relações Internacionais","C ",2008
"0556-5782","SOCIOLOGIA                                        ","Revista de Economia (Curitiba)","B4",2008
"1981-4771","SOCIOLOGIA                                        ","Revista de Economia Agrícola (Impresso)","B4",2008
"0103-2003","SOCIOLOGIA                                        ","Revista de Economia e Sociologia Rural (Impresso)","B1",2008
"1678-5002","SOCIOLOGIA                                        ","Revista de Economia Mackenzie (Impresso)","C ",2008
"1576-0162","SOCIOLOGIA                                        ","Revista de Economía Mundial","C ",2008
"0101-3157","SOCIOLOGIA                                        ","Revista de Economia Política (Impresso)","B1",2008
"1807-2674","SOCIOLOGIA                                        ","Revista de Economia Política e História Econômica","B5",2008
"0104-0537","SOCIOLOGIA                                        ","Revista de Educação AEC (Cessou em 2007. Cont. ISSN 1983-5280 Revista de Educação ANEC)","C ",2008
"0104-5962","SOCIOLOGIA                                        ","Revista de Educação Publica (UFMT)","C ",2008
"0303-9889","SOCIOLOGIA                                        ","Revista de Estudios Sociales","B5",2008
"1676-8698","SOCIOLOGIA                                        ","Revista de Estudos Criminais","B4",2008
"1807-1279","SOCIOLOGIA                                        ","Revista de Estudos e Pesquisas (Fundação Nacional do Índio)","C ",2008
"1984-1639","SOCIOLOGIA                                        ","Revista de Estudos e Pesquisas Sobre as Américas","B2",2008
"0102-6437","SOCIOLOGIA                                        ","Revista de Estudos Universitárias (Sorocaba)","C ",2008
"1518-7896","SOCIOLOGIA                                        ","Revista de Filosofia SEAF","B4",2008
"0104-4443","SOCIOLOGIA                                        ","Revista de Filosofia: Aurora (PUCPR. Impresso)","B2",2008
"1808-4001","SOCIOLOGIA                                        ","Revista de História (Rio de Janeiro)","B5",2008
"1517-2120","SOCIOLOGIA                                        ","Revista de História (UFES)","B3",2008
"1414-0055","SOCIOLOGIA                                        ","Revista de História Regional","B5",2008
"0034-835X","SOCIOLOGIA                                        ","Revista de Informação Legislativa","B3",2008
"0103-4308","SOCIOLOGIA                                        ","Revista de Informática Teórica e Aplicada (Impresso)","C ",2008
